province_code,province,independent,independent_95%_CI_lower,independent_95%_CI_upper,mild_dependency,mild_dependency_95%_CI_lower,mild_dependency_95%_CI_upper,moderate_dependency,moderate_dependency_95%_CI_lower,moderate_dependency_95%_CI_upper,severe_dependency,severe_dependency_95%_CI_lower,severe_dependency_95%_CI_upper,total_dependency,total_dependency_95%_CI_lower,total_dependency_95%_CI_upper,weighted_n
35,Jawa Timur,95.5,95.0,96.0,1.8,1.5,2.1,1.0,0.8,1.2,0.6,0.4,0.8,1.1,0.9,1.4,18859
36,Banten,95.7,94.0,97.0,1.5,0.9,2.5,1.2,0.6,2.2,0.9,0.4,2.2,0.7,0.3,1.7,3290
51,Bali,94.9,93.8,95.9,2.5,1.8,3.4,1.0,0.6,1.6,0.9,0.6,1.3,0.8,0.5,1.3,1956
52,Nusa Tenggara Barat,95.0,92.7,96.7,1.6,0.7,4.1,1.4,0.7,2.9,0.7,0.3,1.3,1.2,0.7,2.1,1588
53,Nusa Tenggara Timur,94.8,93.9,95.5,2.6,2.1,3.4,1.0,0.8,1.4,0.8,0.6,1.2,0.7,0.5,1.1,1673
61,Kalimantan Barat,94.0,92.5,95.2,2.5,1.7,3.6,1.5,0.9,2.4,1.1,0.7,1.9,0.9,0.5,1.5,1614
62,Kalimantan Tengah,93.9,92.1,95.4,2.2,1.4,3.5,1.4,0.8,2.6,0.6,0.3,1.4,1.8,1.1,3.1,736
63,Kalimantan Selatan,94.4,92.7,95.7,1.9,1.3,2.7,1.1,0.5,2.2,1.1,0.6,1.8,1.6,0.9,2.9,1237
64,Kalimantan Timur,95.5,93.5,96.9,2.2,1.3,3.8,1.1,0.5,2.2,0.8,0.3,2.0,0.4,0.2,1.1,1064
65,Kalimantan Utara,96.4,94.3,97.8,2.1,1.1,3.7,0.1,0.0,0.4,0.3,0.1,1.2,1.2,0.5,2.9,184
71,Sulawesi Utara,95.5,94.4,96.4,2.0,1.4,2.8,1.2,0.8,1.8,0.4,0.2,0.8,0.9,0.6,1.5,1122
72,Sulawesi Tengah,94.1,92.5,95.3,3.2,2.2,4.6,1.3,0.9,2.1,0.4,0.2,0.9,1.0,0.6,1.7,893
73,Sulawesi Selatan,94.0,92.9,94.9,2.4,1.8,3.2,1.6,1.1,2.2,0.9,0.6,1.4,1.1,0.8,1.6,3258
74,Sulawesi Tenggara,94.6,93.0,95.8,2.1,1.5,2.9,1.1,0.5,2.4,0.9,0.5,1.6,1.3,0.8,2.0,716
75,Gorontalo,96.1,94.2,97.4,2.2,1.3,3.7,1.1,0.5,2.8,0.2,0.0,0.7,0.4,0.2,0.9,374
76,Sulawesi Barat,93.6,90.8,95.5,4.1,2.4,6.7,1.1,0.4,2.6,0.1,0.0,0.7,1.2,0.5,2.6,386
82,Maluku,95.1,93.3,96.4,2.4,1.5,3.9,1.2,0.7,1.8,0.4,0.1,1.0,0.9,0.5,1.9,549
81,Maluku Utara,95.1,93.2,96.5,2.3,1.4,3.8,0.8,0.3,2.1,0.4,0.2,0.9,1.3,0.8,2.3,333
96,Papua Barat Daya,93.2,89.4,95.7,2.6,1.4,4.8,2.6,0.9,7.2,1.0,0.2,5.0,0.6,0.2,1.6,109
91,Papua,96.8,94.1,98.2,1.1,0.5,2.3,1.1,0.5,2.5,0.0,0.0,0.0,1.0,0.3,4.0,141
93,Papua Selatan,92.7,89.6,95.0,3.6,2.2,5.9,1.8,0.8,3.9,0.8,0.2,2.6,1.2,0.3,4.2,245
94,Papua Tengah,93.0,84.4,97.1,1.4,0.5,3.6,1.2,0.4,3.8,2.9,0.4,17.8,1.4,0.5,3.9,104
95,Papua Pegunungan,85.4,74.4,92.1,2.7,0.9,8.5,5.8,1.1,25.4,2.7,0.3,17.8,3.4,1.1,10.7,235
96,Papua Barat Daya,87.0,77.0,93.1,4.0,1.4,10.7,2.2,0.8,5.9,2.3,1.9,2.9,4.5,0.7,22.9,329
0,INDONESIA,95.0,94.7,95.2,2.1,2.0,2.3,1.1,1.0,1.2,0.7,0.7,0.8,1.0,0.9,1.2,97339
